,Temp_c,Dew_point_c
3097,-15.3,-19.0
3098,-14.4,-19.1
3099,-14.8,-19.9
3100,-15.0,-18.9
3101,-14.6,-19.1
3102,-13.9,-19.4
3103,-13.2,-18.0
3104,-12.0,-17.3
3105,-10.6,-16.5
3106,-9.6,-15.2
3107,-8.8,-14.8
3108,-8.1,-15.0
3109,-7.2,-13.7
3110,-6.1,-12.7
3111,-6.2,-12.8
3112,-6.6,-13.6
3113,-6.7,-13.6
3114,-6.4,-13.3
3115,-6.6,-13.9
3116,-7.6,-15.2
3117,-8.3,-15.7
3118,-9.6,-16.9
3119,-9.9,-16.3
3120,-11.5,-16.0
3121,-9.1,-14.2
3122,-7.9,-12.4
3123,-8.5,-11.5
3124,-8.4,-13.2
3125,-8.5,-12.2
3126,-4.9,-8.3
3127,-5.7,-5.7
3128,-5.2,-8.4
3129,-4.0,-7.3
3130,-4.1,-7.9
3131,-2.6,-5.5
3132,-1.9,-3.4
3133,-1.5,-1.5
3134,-1.2,-1.2
3135,-2.2,-3.3
3136,-2.5,-2.5
3137,-3.7,-3.7
3138,-5.4,-5.4
3139,-6.0,-8.6
3140,-6.4,-9.8
3141,-6.6,-10.6
3142,-8.4,-11.1
3143,-7.6,-10.8
3144,-6.8,-10.6
3145,-6.0,-10.3
3146,-6.5,-9.4
3147,-7.1,-8.5
3148,-7.6,-7.6
3149,-7.6,-8.2
3150,-7.7,-8.8
3151,-7.7,-9.4
3152,-8.0,-10.0
3153,-8.4,-10.7
3154,-8.7,-11.3
3155,-7.8,-9.5
3156,-6.9,-7.8
3157,-6.0,-6.0
3158,-5.7,-5.7
3159,-5.5,-5.5
3160,-5.2,-5.2
3161,-6.5,-7.4
3162,-7.8,-9.7
3163,-9.1,-11.9
3164,-9.4,-12.5
3165,-9.6,-13.2
3166,-9.9,-13.8
3167,-10.3,-14.1
3168,-10.7,-14.5
3169,-11.1,-14.8
3170,-10.1,-13.5
